,State,Date,Initial_claims,Rate_insured_unemp
1768,Alaska,2020-01-04,1371,2.64
1769,Alaska,2020-01-11,1181,2.75
1770,Alaska,2020-01-18,1003,2.83
1771,Alaska,2020-01-25,1122,2.91
1772,Alaska,2020-02-01,980,2.96
1773,Alaska,2020-02-08,915,3.01
1774,Alaska,2020-02-15,773,3.02
1775,Alaska,2020-02-22,874,3.04
1776,Alaska,2020-02-29,815,3.0
1777,Alaska,2020-03-07,1120,3.0
1778,Alaska,2020-03-14,7847,2.97
1779,Alaska,2020-03-21,13774,3.03
1780,Alaska,2020-03-28,14590,3.27
1781,Alaska,2020-04-04,12007,3.92
1782,Alaska,2020-04-11,12201,4.87
1783,Alaska,2020-04-18,10313,5.93
1784,Alaska,2020-04-25,8718,6.94
1785,Alaska,2020-05-02,7807,7.97
1786,Alaska,2020-05-09,7741,8.99
1787,Alaska,2020-05-16,8152,9.97
1788,Alaska,2020-05-23,7452,10.93
1789,Alaska,2020-05-30,7081,11.9
1790,Alaska,2020-06-06,6797,12.83
1791,Alaska,2020-06-13,6757,13.72
1792,Alaska,2020-06-20,6467,14.52
1793,Alaska,2020-06-27,6124,15.08
1794,Alaska,2020-07-04,9572,15.25
1795,Alaska,2020-07-11,6606,15.09
1796,Alaska,2020-07-18,6069,14.8
1797,Alaska,2020-07-25,5195,14.53
3567,Alabama,2020-01-04,3629,0.8
3568,Alabama,2020-01-11,2483,0.81
3569,Alabama,2020-01-18,2129,0.83
3570,Alabama,2020-01-25,2170,0.84
3571,Alabama,2020-02-01,2176,0.85
3572,Alabama,2020-02-08,1981,0.86
3573,Alabama,2020-02-15,1735,0.87
3574,Alabama,2020-02-22,1575,0.87
3575,Alabama,2020-02-29,1663,0.87
3576,Alabama,2020-03-07,1819,0.87
3577,Alabama,2020-03-14,10892,0.86
3578,Alabama,2020-03-21,80984,0.87
3579,Alabama,2020-03-28,106739,1.0
3580,Alabama,2020-04-04,77515,1.29
3581,Alabama,2020-04-11,66432,1.8
3582,Alabama,2020-04-18,74966,2.42
3583,Alabama,2020-04-25,28985,3.21
3584,Alabama,2020-05-02,26666,4.01
3585,Alabama,2020-05-09,25150,4.75
3586,Alabama,2020-05-16,27919,5.44
3587,Alabama,2020-05-23,21335,6.11
3588,Alabama,2020-05-30,19949,6.77
3589,Alabama,2020-06-06,18367,7.37
3590,Alabama,2020-06-13,18671,7.91
3591,Alabama,2020-06-20,18338,8.41
3592,Alabama,2020-06-27,19056,8.75
3593,Alabama,2020-07-04,20563,8.81
3594,Alabama,2020-07-11,23676,8.66
3595,Alabama,2020-07-18,17437,8.34
3596,Alabama,2020-07-25,11690,7.82
5366,Arkansas,2020-01-04,2493,0.96
5367,Arkansas,2020-01-11,1729,0.98
5368,Arkansas,2020-01-18,1683,1.0
5369,Arkansas,2020-01-25,1837,1.02
5370,Arkansas,2020-02-01,1724,1.03
5371,Arkansas,2020-02-08,1602,1.05
5372,Arkansas,2020-02-15,1055,1.06
5373,Arkansas,2020-02-22,1418,1.08
5374,Arkansas,2020-02-29,1843,1.07
5375,Arkansas,2020-03-07,1382,1.07
5376,Arkansas,2020-03-14,9275,1.07
5377,Arkansas,2020-03-21,27742,1.09
5378,Arkansas,2020-03-28,62049,1.23
5379,Arkansas,2020-04-04,35604,1.56
5380,Arkansas,2020-04-11,25376,2.06
5381,Arkansas,2020-04-18,17645,2.68
5382,Arkansas,2020-04-25,13311,3.36
5383,Arkansas,2020-05-02,12964,4.07
5384,Arkansas,2020-05-09,11097,4.77
5385,Arkansas,2020-05-16,10647,5.46
5386,Arkansas,2020-05-23,8364,6.13
5387,Arkansas,2020-05-30,9605,6.79
5388,Arkansas,2020-06-06,9324,7.45
5389,Arkansas,2020-06-13,9561,8.1
5390,Arkansas,2020-06-20,10330,8.7
5391,Arkansas,2020-06-27,10760,9.13
5392,Arkansas,2020-07-04,14106,9.33
5393,Arkansas,2020-07-11,15909,9.39
5394,Arkansas,2020-07-18,15228,9.29
5395,Arkansas,2020-07-25,12720,9.04
7165,Arizona,2020-01-04,4650,0.66
7166,Arizona,2020-01-11,4151,0.65
7167,Arizona,2020-01-18,3470,0.65
7168,Arizona,2020-01-25,3796,0.64
7169,Arizona,2020-02-01,3635,0.63
7170,Arizona,2020-02-08,3536,0.63
7171,Arizona,2020-02-15,3149,0.63
7172,Arizona,2020-02-22,3085,0.63
7173,Arizona,2020-02-29,3356,0.63
7174,Arizona,2020-03-07,3844,0.63
7175,Arizona,2020-03-14,29337,0.63
7176,Arizona,2020-03-21,88688,0.65
7177,Arizona,2020-03-28,132382,0.77
7178,Arizona,2020-04-04,98495,1.05
7179,Arizona,2020-04-11,72433,1.44
7180,Arizona,2020-04-18,52529,1.92
7181,Arizona,2020-04-25,42955,2.45
7182,Arizona,2020-05-02,31032,3.01
7183,Arizona,2020-05-09,31933,3.57
7184,Arizona,2020-05-16,26847,4.11
7185,Arizona,2020-05-23,21979,4.61
7186,Arizona,2020-05-30,24336,5.13
7187,Arizona,2020-06-06,22406,5.64
7188,Arizona,2020-06-13,25853,6.17
7189,Arizona,2020-06-20,26297,6.67
7190,Arizona,2020-06-27,25745,7.08
7191,Arizona,2020-07-04,28669,7.31
7192,Arizona,2020-07-11,21429,7.46
7193,Arizona,2020-07-18,19032,7.55
7194,Arizona,2020-07-25,15539,7.59
8960,California,2020-01-04,51896,1.74
8961,California,2020-01-11,64768,1.79
8962,California,2020-01-18,45518,1.81
8963,California,2020-01-25,43336,1.87
8964,California,2020-02-01,40300,1.9
8965,California,2020-02-08,43382,1.95
8966,California,2020-02-15,34937,1.97
8967,California,2020-02-22,41621,2.02
8968,California,2020-02-29,43318,2.04
8969,California,2020-03-07,57552,2.06
8970,California,2020-03-14,186262,2.1
8971,California,2020-03-21,1058221,2.14
8972,California,2020-03-28,918530,2.46
8973,California,2020-04-04,654990,2.93
8974,California,2020-04-11,527905,3.84
8975,California,2020-04-18,325075,4.53
8976,California,2020-04-25,315893,6.49
8977,California,2020-05-02,211945,7.6
8978,California,2020-05-09,243749,9.01
8979,California,2020-05-16,202728,9.81
8980,California,2020-05-23,228067,10.87
8981,California,2020-05-30,255234,11.95
8982,California,2020-06-06,240665,13.13
8983,California,2020-06-13,283622,14.17
8984,California,2020-06-20,276649,15.28
8985,California,2020-06-27,263995,16.03
8986,California,2020-07-04,284218,16.64
8987,California,2020-07-11,288995,16.76
8988,California,2020-07-18,244105,17.32
8989,California,2020-07-25,221424,16.43
10779,Colorado,2020-01-04,3001,0.69
10780,Colorado,2020-01-11,2522,0.7
10781,Colorado,2020-01-18,2164,0.72
10782,Colorado,2020-01-25,2041,0.74
10783,Colorado,2020-02-01,2472,0.76
10784,Colorado,2020-02-08,2209,0.77
10785,Colorado,2020-02-15,1862,0.78
10786,Colorado,2020-02-22,1679,0.8
10787,Colorado,2020-02-29,1865,0.81
10788,Colorado,2020-03-07,2321,0.81
10789,Colorado,2020-03-14,19745,0.82
10790,Colorado,2020-03-21,61583,0.82
10791,Colorado,2020-03-28,46065,0.98
10792,Colorado,2020-04-04,104217,1.39
10793,Colorado,2020-04-11,67334,1.82
10794,Colorado,2020-04-18,38384,2.42
10795,Colorado,2020-04-25,28164,3.01
10796,Colorado,2020-05-02,22483,3.7
10797,Colorado,2020-05-09,17825,4.35
10798,Colorado,2020-05-16,15603,5.05
10799,Colorado,2020-05-23,12149,5.69
10800,Colorado,2020-05-30,12941,6.39
10801,Colorado,2020-06-06,10270,7.03
10802,Colorado,2020-06-13,9882,7.71
10803,Colorado,2020-06-20,8566,8.33
10804,Colorado,2020-06-27,7854,8.83
10805,Colorado,2020-07-04,10506,8.96
10806,Colorado,2020-07-11,8486,9.15
10807,Colorado,2020-07-18,8008,9.14
10808,Colorado,2020-07-25,7138,9.13
12583,Connecticut,2020-01-04,5978,1.88
12584,Connecticut,2020-01-11,3727,1.96
12585,Connecticut,2020-01-18,2935,2.04
12586,Connecticut,2020-01-25,2959,2.11
12587,Connecticut,2020-02-01,2932,2.19
12588,Connecticut,2020-02-08,2501,2.25
12589,Connecticut,2020-02-15,2418,2.32
12590,Connecticut,2020-02-22,2837,2.38
12591,Connecticut,2020-02-29,2519,2.43
12592,Connecticut,2020-03-07,3428,2.47
12593,Connecticut,2020-03-14,25086,2.53
12594,Connecticut,2020-03-21,33168,2.73
12595,Connecticut,2020-03-28,33359,3.2
12596,Connecticut,2020-04-04,33857,3.86
12597,Connecticut,2020-04-11,102564,5.09
12598,Connecticut,2020-04-18,32793,6.33
12599,Connecticut,2020-04-25,35918,7.52
12600,Connecticut,2020-05-02,29846,8.81
12601,Connecticut,2020-05-09,25813,10.0
12602,Connecticut,2020-05-16,16437,11.07
12603,Connecticut,2020-05-23,14102,12.03
12604,Connecticut,2020-05-30,15173,13.09
12605,Connecticut,2020-06-06,11719,14.11
12606,Connecticut,2020-06-13,10229,15.06
12607,Connecticut,2020-06-20,9871,15.83
12608,Connecticut,2020-06-27,12107,16.31
12609,Connecticut,2020-07-04,9805,16.61
12610,Connecticut,2020-07-11,11409,16.35
12611,Connecticut,2020-07-18,11052,16.08
14386,District of Columbia,2020-01-04,706,1.15
14387,District of Columbia,2020-01-11,594,1.16
14388,District of Columbia,2020-01-18,534,1.17
14389,District of Columbia,2020-01-25,539,1.18
14390,District of Columbia,2020-02-01,508,1.2
14391,District of Columbia,2020-02-08,473,1.2
14392,District of Columbia,2020-02-15,422,1.21
14393,District of Columbia,2020-02-22,452,1.22
14394,District of Columbia,2020-02-29,471,1.22
14395,District of Columbia,2020-03-07,1213,1.21
14396,District of Columbia,2020-03-14,14462,1.22
